period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
201910	13081	12938	143	0.9890681141	0.0109318859	7828.823600956304	86.52973990854473
201911	11559	11444	115	0.9900510425	0.0099489575	7933.701871948777	79.72524600437865
201912	9678	9569	109	0.9887373424	0.0112626576	7526.331147559035	85.73206135269463
202001	10416	10266	150	0.9855990783	0.0144009217	7499.282286689395	109.57455123742541
202002	10444	10347	97	0.9907123707	0.0092876293	7416.539736582743	69.52782008780575
202003	13008	12909	99	0.9923892989	0.0076107011	8347.079168900163	64.01431851585066
202004	11447	11388	59	0.9948458111	0.0051541889	8354.296102135451	43.282707237969056
202005	10493	10352	141	0.9865624702	0.0134375298	8001.892255819383	108.99022489089383
202006	9919	9843	76	0.9923379373	0.0076620627	7930.13936355858	61.23037606730185
202007	8587	8530	57	0.9933620589	0.0066379411	7725.049809817062	51.62108313711284
202008	9623	9557	66	0.9931414320	0.0068585680	7979.054252058632	55.10281266463009
202009	11026	10946	80	0.9927444223	0.0072555777	7925.354255225947	57.923290737993405
202010	11022	10931	91	0.9917437852	0.0082562148	7597.709913583087	63.25053537060296
202011	11088	11008	80	0.9927849928	0.0072150072	7954.446917362777	57.80848050408996
202012	10377	10300	77	0.9925797437	0.0074202563	7853.956068172338	58.714040509637876
202101	10143	10071	72	0.9929015084	0.0070984916	7578.100486018778	54.1776620984363
202102	10361	10292	69	0.9933404112	0.0066595888	7809.636691026885	52.35764979409785
202103	10980	10899	81	0.9926229508	0.0073770492	7594.740891049369	56.44316104000357
202104	9939	9887	52	0.9947680853	0.0052319147	7788.504334605554	40.96310563360865
202105	10055	9991	64	0.9936350075	0.0063649925	7792.367831583151	49.916078592865745
202106	9160	9093	67	0.9926855895	0.0073144105	7503.050976683854	55.28477020101377
202107	7625	7591	34	0.9955409836	0.0044590164	7557.58790387696	33.85034761320203
202108	7769	7732	37	0.9952374823	0.0047625177	7360.844155164157	35.22390503635202
202109	9898	9848	50	0.9949484744	0.0050515256	7846.605554294001	39.838574097755895
202110	9649	9594	55	0.9942999275	0.0057000725	7515.2984969403005	43.08332471666839
202111	9571	9496	75	0.9921638282	0.0078361718	7291.977826121345	57.592495467470606
202112	9082	9033	49	0.9946047126	0.0053952874	7256.290110222027	39.36214052926816
202201	9346	9294	52	0.9944361224	0.0055638776	7363.048019843945	41.196309127596855
202202	9065	9003	62	0.9931605074	0.0068394926	7458.624640551953	51.364514907722
202203	10762	10695	67	0.9937743914	0.0062256086	7877.808886345206	49.35139741796435
202204	9607	9518	89	0.9907359217	0.0092640783	7979.423516412395	74.61322682923966
202205	9658	9584	74	0.9923379582	0.0076620418	7632.8400074225865	58.934699556476566
202206	7846	7793	53	0.9932449656	0.0067550344	7230.986069704367	49.177757178792696
202207	6763	6711	52	0.9923111045	0.0076888955	7367.778512128126	57.089030342819626
202208	7648	7613	35	0.9954236402	0.0045763598	7226.957605582595	33.225209010296965
202209	1785	1775	10	0.9943977591	0.0056022409	8161.745096055693	45.98166251298982
202210	0	0	0	NaN	NaN	0.0	0.0
202211	0	0	0	NaN	NaN	0.0	0.0
202212	0	0	0	NaN	NaN	0.0	0.0
